column,source,n_filled,disease_rate_filled,n_observed,disease_rate_observed
ST_Slope,hungary,188,0.17553191489361702,104,0.7019230769230769
ST_Slope,switzerland,16,1.0,105,0.9238095238095239
ST_Slope,va,98,0.6326530612244898,98,0.8469387755102041
Cholesterol,hungary,21,0.23809523809523808,271,0.3726937269372694
Cholesterol,va,7,0.8571428571428571,189,0.7354497354497355
FastingBS,hungary,8,0.25,284,0.36619718309859156
FastingBS,switzerland,74,0.9054054054054054,47,0.9787234042553191
FastingBS,va,7,0.8571428571428571,189,0.7354497354497355
RestingECG,hungary,1,1.0,291,0.36082474226804123
RestingECG,switzerland,1,1.0,120,0.9333333333333333
RestingBP,hungary,1,0.0,291,0.3642611683848797
RestingBP,switzerland,2,1.0,119,0.9327731092436975
RestingBP,va,54,0.6481481481481481,142,0.7746478873239436
MaxHR,hungary,1,0.0,291,0.3642611683848797
MaxHR,switzerland,1,1.0,120,0.9333333333333333
MaxHR,va,51,0.6274509803921569,145,0.7793103448275862
ExerciseAngina,hungary,1,0.0,291,0.3642611683848797
ExerciseAngina,switzerland,1,1.0,120,0.9333333333333333
ExerciseAngina,va,51,0.6274509803921569,145,0.7793103448275862
Oldpeak,switzerland,6,1.0,115,0.9304347826086956
Oldpeak,va,54,0.6111111111111112,142,0.7887323943661971
