position,file,metric_name,metric_value,accuracy_value,value_source,eval_design,test_size,stratify,seed_fixed,models,headline_model,n_models,best_of_n,tuning,hyperparams,fit_before_split,scaling,encoding,chol_zero,chol_zero_before_split,outlier_removal,outlier_before_split,resampling,features_dropped,dedup,source_imputation_mentioned
2,002-1,accuracy,0.8587,0.8587,output,single_split,0.2,no,yes,random_forest,random_forest,1.0,no,none,set,na,none,onehot,ignored,na,no,na,none,,none,no
3,003-1,accuracy,0.8611,0.8611,output,single_split,0.2,no,yes,logistic_regression;svm;random_forest,logistic_regression,3.0,no,none,default,yes,standard,onehot,ignored,na,yes,yes,none,,none,no
4,004-1,accuracy,0.875,0.875,output,single_split,0.2,no,yes,mlp,mlp,1.0,no,none,set,yes,standard,onehot,imputed,yes,no,na,none,,none,no
5,005-1,accuracy,0.8913,0.8913,output,single_split,0.2,no,yes,decision_tree;random_forest;xgboost,random_forest,3.0,yes,other,set,na,none,onehot,ignored,na,no,na,none,,none,no
6,006-1,accuracy,0.8453,0.8453,output,single_split,0.2,no,yes,logistic_regression;random_forest;decision_tree,random_forest,3.0,no,grid,set,yes,standard,label,ignored,na,yes,yes,none,,none,no
7,007-1,accuracy,0.7011,0.7011,output,single_split,0.2,no,yes,knn,knn,1.0,no,grid,set,na,none,label,ignored,na,no,na,none,,none,no
9,009-1,accuracy,0.8859,0.8859,output,single_split,0.2,yes,yes,knn,knn,1.0,no,none,default,yes,standard,onehot,imputed,yes,no,na,none,,checked,no
10,010-1,accuracy,0.8641,0.8641,output,single_split,0.2,no,yes,decision_tree;random_forest;xgboost,decision_tree,3.0,no,other,set,na,none,onehot,ignored,na,no,na,none,,none,no
14,014-1,accuracy,0.8676,0.8676,output,single_split,0.2,no,yes,knn,knn,1.0,no,none,set,yes,standard,label,ignored,na,no,na,smote,RestingECG;RestingBP,checked,no
15,015-1,accuracy,0.8804,0.8804,output,single_split,0.3,no,yes,random_forest;logistic_regression,random_forest,2.0,yes,other,set,na,none,onehot,ignored,na,no,na,none,,none,no
16,016-1,accuracy,0.8641,0.8641,output,single_split,0.2,no,yes,decision_tree;random_forest;xgboost,xgboost,3.0,no,other,set,na,none,onehot,ignored,na,no,na,none,,none,no
17,017-1,accuracy,0.6961,0.6961,output,single_split,0.2,no,yes,svm;random_forest;logistic_regression,logistic_regression,3.0,no,grid,set,yes,none,onehot,ignored,na,yes,yes,none,,none,no
18,018-1,accuracy,0.8587,0.8587,output,single_split,0.2,no,yes,svm,svm,1.0,no,none,default,no,standard,onehot,ignored,na,no,na,smote,,none,no
21,021-1,accuracy,0.8641304347826086,0.8641304347826086,output,single_split,0.2,no,yes,logistic_regression;svm;knn;decision_tree;random_forest;xgboost,svm,6.0,yes,none,default,yes,standard,label,ignored,na,no,na,none,,none,no
