file,field,first,second,agree,resolved,resolution_note
015-1,metric_name,accuracy,accuracy,True,,
015-1,metric_value,0.8804,0.8804,True,,
015-1,accuracy_value,0.8804,0.8804,True,,
015-1,value_source,output,output,True,,
015-1,eval_design,single_split,single_split,True,,
015-1,test_size,0.3000,0.3000,True,,
015-1,stratify,no,no,True,,
015-1,seed_fixed,yes,yes,True,,
015-1,models,logistic_regression;random_forest,logistic_regression;random_forest,True,,
015-1,headline_model,random_forest,random_forest,True,,
015-1,n_models,2,2,True,,
015-1,best_of_n,yes,yes,True,,
015-1,tuning,other,other,True,,
015-1,hyperparams,set,set,True,,
015-1,fit_before_split,na,na,True,,
015-1,scaling,none,none,True,,
015-1,encoding,onehot,onehot,True,,
015-1,chol_zero,ignored,ignored,True,,
015-1,chol_zero_before_split,na,na,True,,
015-1,outlier_removal,no,no,True,,
015-1,outlier_before_split,na,na,True,,
015-1,resampling,none,none,True,,
015-1,features_dropped,,,True,,
015-1,dedup,none,none,True,,
015-1,source_imputation_mentioned,no,no,True,,
028-1,metric_name,accuracy,accuracy,True,,
028-1,metric_value,0.8623,0.8623,True,,
028-1,accuracy_value,0.8623,0.8623,True,,
028-1,value_source,output,output,True,,
028-1,eval_design,single_split,single_split,True,,
028-1,test_size,0.3000,0.3000,True,,
028-1,stratify,yes,yes,True,,
028-1,seed_fixed,yes,yes,True,,
028-1,models,logistic_regression;random_forest;svm,logistic_regression;random_forest;svm,True,,
028-1,headline_model,svm,svm,True,,
028-1,n_models,3,3,True,,
028-1,best_of_n,no,no,True,,
028-1,tuning,none,none,True,,
028-1,hyperparams,default,default,True,,
028-1,fit_before_split,no,no,True,,
028-1,scaling,standard,standard,True,,
028-1,encoding,mixed,mixed,True,,
028-1,chol_zero,ignored,ignored,True,,
028-1,chol_zero_before_split,na,na,True,,
028-1,outlier_removal,no,no,True,,
028-1,outlier_before_split,na,na,True,,
028-1,resampling,none,none,True,,
028-1,features_dropped,,,True,,
028-1,dedup,none,none,True,,
028-1,source_imputation_mentioned,no,no,True,,
031-1,metric_name,accuracy,accuracy,True,,
031-1,metric_value,0.8278,0.8278,True,,
031-1,accuracy_value,0.8278,0.8278,True,,
031-1,value_source,output,output,True,,
031-1,eval_design,cv,cv,True,,
031-1,test_size,,,True,,
031-1,stratify,na,na,True,,
031-1,seed_fixed,no,no,True,,
031-1,models,decision_tree;logistic_regression;random_forest;svm,decision_tree;logistic_regression;random_forest;svm,True,,
031-1,headline_model,random_forest,random_forest,True,,
031-1,n_models,4,4,True,,
031-1,best_of_n,yes,yes,True,,
031-1,tuning,none,none,True,,
031-1,hyperparams,default,default,True,,
031-1,fit_before_split,yes,yes,True,,
031-1,scaling,standard,standard,True,,
031-1,encoding,onehot,onehot,True,,
031-1,chol_zero,ignored,ignored,True,,
031-1,chol_zero_before_split,na,na,True,,
031-1,outlier_removal,no,no,True,,
031-1,outlier_before_split,na,na,True,,
031-1,resampling,none,none,True,,
031-1,features_dropped,,,True,,
