position,file,repo,path,ref,html_url,decision,criterion,evidence
1,001-1,helloiampratyush/standford-study,advance algorithm/week_4/C2_W4_Lab_02_Tree_Ensemble.ipynb,4fdf890ed6e26b5b985225b4ca1d02b39fd1f6e1,https://github.com/helloiampratyush/standford-study/blob/4fdf890ed6e26b5b985225b4ca1d02b39fd1f6e1/advance algorithm/week_4/C2_W4_Lab_02_Tree_Ensemble.ipynb,exclude,E3,Notebook saved with no cell outputs; no held-out metric value appears in any output or markdown (only an eval-set log loss).
2,002-1,jaidev3/w7-d6-revisited-crud-fastapi,superviser-learning/random-forest.ipynb,3bd45207b170f5320d4d15119e7aa4b0b6a7b05c,https://github.com/jaidev3/w7-d6-revisited-crud-fastapi/blob/3bd45207b170f5320d4d15119e7aa4b0b6a7b05c/superviser-learning/random-forest.ipynb,include,,"Kaggle 12 columns shown, 184-row 20% test set; RandomForest test accuracy 0.8587 printed."
3,003-1,vishwaas-hkumarCS338/ML-LAB,1BM22CS338_Lab11_PCA.ipynb,e1a3ddeafe47749ec541e3226d2f9bd79643f624,https://github.com/vishwaas-hkumarCS338/ML-LAB/blob/e1a3ddeafe47749ec541e3226d2f9bd79643f624/1BM22CS338_Lab11_PCA.ipynb,include,,"heart.csv with the 12 Kaggle columns printed; LR/SVM/RF trained on last column (heartdisease), test accuracies printed."
4,004-1,piotr-stec/snn-heart-failure,heartDisease.ipynb,03a83a4ad09b7c634aa097d154b454e936d6d65e,https://github.com/piotr-stec/snn-heart-failure/blob/03a83a4ad09b7c634aa097d154b454e936d6d65e/heartDisease.ipynb,include,,info() shows 918 rows x 12 Kaggle columns; Keras MLP test accuracy 0.8750 printed.
5,005-1,maria-snarava/machine-learning-study,Classification/XGBClassifier.ipynb,7e480abd766302f186069d6bd34a88d5ea6be0e8,https://github.com/maria-snarava/machine-learning-study/blob/7e480abd766302f186069d6bd34a88d5ea6be0e8/Classification/XGBClassifier.ipynb,include,,"Kaggle heart.csv, 734/184 split; DT 0.8641, RF 0.8913, XGBoost 0.8533 test accuracy printed."
6,006-1,Supriyasus/Heart-Disease-,Heartdisease.ipynb,11b444116f3f0bf479507c89d726b648dda95d37,https://github.com/Supriyasus/Heart-Disease-/blob/11b444116f3f0bf479507c89d726b648dda95d37/Heartdisease.ipynb,include,,"Kaggle 12 columns, 918 minus outliers (911/908/902); GridSearch LR/RF/DT test scores printed."
7,007-1,towfekatf/patttern4207_machine_learning,k_nearest_labfinal3.ipynb,85168e8e340b68f8611e600333530a3b89b596e8,https://github.com/towfekatf/patttern4207_machine_learning/blob/85168e8e340b68f8611e600333530a3b89b596e8/k_nearest_labfinal3.ipynb,include,,Printed [918 rows x 12 columns]; KNN test accuracy 0.6902 (k=5) and 0.7011 (Best_Classifier k=6) printed.
7,007-2,towfekatf/patttern4207_machine_learning,last_final_linear.ipynb,85168e8e340b68f8611e600333530a3b89b596e8,https://github.com/towfekatf/patttern4207_machine_learning/blob/85168e8e340b68f8611e600333530a3b89b596e8/last_final_linear.ipynb,skipped_repo_done,,Repository already has an included notebook (007-1).
8,008-1,akshay-1896/LW-DS-15D,EDA/Project-02.ipynb,0f37e0b8309cb7750e89d851b456ea68f0f73530,https://github.com/akshay-1896/LW-DS-15D/blob/0f37e0b8309cb7750e89d851b456ea68f0f73530/EDA/Project-02.ipynb,exclude,E2,"Only loads heart.csv and shows head(); remaining cells are empty, no classifier is fit."
9,009-1,PalakRajput-AI/Heart-Disease-Prediction,HeartdiseaseFinal.ipynb,40662778d3dea94e96ba6f9422ae53605b2bcbaf,https://github.com/PalakRajput-AI/Heart-Disease-Prediction/blob/40662778d3dea94e96ba6f9422ae53605b2bcbaf/HeartdiseaseFinal.ipynb,include,,"shape (918, 12); scaled KNN test accuracy 0.8859 printed and model saved with joblib."
